episode,agent_name,minimum_welfare,average_welfare,equity_score
0,veil_of_ignorance,1227.4072136731743,9999.999999999998,0.05637483385337627
1,veil_of_ignorance,151.6612605404817,10000.0,0.004750436420644433
2,veil_of_ignorance,489.6082977940645,9999.999999999998,0.0225976392621976
3,veil_of_ignorance,799.362859825493,10000.000000000004,0.03087590888726588
4,veil_of_ignorance,1889.1708131495338,10000.000000000002,0.09218691088815467
5,veil_of_ignorance,700.7976026994518,9999.999999999998,0.03521526038597611
6,veil_of_ignorance,820.445664024823,10000.0,0.03426730946840284
7,veil_of_ignorance,3274.0067062775233,10000.0,0.14125533621919573
8,veil_of_ignorance,1652.53039745516,10000.0,0.07998327098013003
9,veil_of_ignorance,508.1212531700431,10000.0,0.019597077487976677
