episode,agent_name,minimum_welfare,average_welfare,equity_score
0,veil_of_ignorance,1679.480159712798,10000.000000000002,0.07589402869340645
1,veil_of_ignorance,876.3938369613226,10000.000000000002,0.04628331507346828
2,veil_of_ignorance,2725.738635205982,10000.0,0.10323341768206473
3,veil_of_ignorance,2336.991271771735,10000.0,0.1287860233630348
4,veil_of_ignorance,1585.6261036895646,10000.0,0.06929852092056343
5,veil_of_ignorance,0.0,10000.0,0.0
6,veil_of_ignorance,1264.5447462461013,10000.000000000002,0.045217852052118146
7,veil_of_ignorance,726.7623097113137,9999.999999999996,0.043326213812116876
8,veil_of_ignorance,849.6490420146429,10000.0,0.032981163125193724
9,veil_of_ignorance,2720.4353222347922,9999.999999999998,0.09816915136831172
