episode,agent_name,minimum_welfare,average_welfare,equity_score
0,veil_of_ignorance,1308.7963679829693,10000.000000000002,0.05265875440024903
0,individual_allocator,35000.0,50000.0,0.5384615384615384
0,social_allocator,30000.0,33333.333333333336,0.75
0,resource_allocator,4796.0,7898.2,0.46499903044405666
1,veil_of_ignorance,585.9766200051196,10000.0,0.024318566402588893
1,individual_allocator,30000.0,50000.0,0.4285714285714286
1,social_allocator,30000.0,33333.333333333336,0.8571428571428572
1,resource_allocator,4562.0,7316.4,0.43447619047619046
2,veil_of_ignorance,352.2358220521559,10000.000000000002,0.018482688227069555
2,individual_allocator,30000.0,50000.0,0.4285714285714286
2,social_allocator,30000.0,33333.333333333336,0.8571428571428572
2,resource_allocator,7207.0,8912.2,0.6373363990095507
3,veil_of_ignorance,629.1923384299636,10000.0,0.025182839555363157
3,individual_allocator,30000.0,50000.0,0.4285714285714286
3,social_allocator,30000.0,33333.333333333336,0.8571428571428572
3,resource_allocator,5661.0,8508.2,0.5039166815025815
4,veil_of_ignorance,2364.145948607658,10000.0,0.09169367872149592
4,individual_allocator,30000.0,50000.0,0.4285714285714286
4,social_allocator,30000.0,33333.333333333336,0.8571428571428572
4,resource_allocator,5589.0,7093.2,0.5721744471744472
5,veil_of_ignorance,1783.8660126593672,9999.999999999996,0.045976168066200196
5,individual_allocator,30000.0,50000.0,0.4285714285714286
5,social_allocator,30000.0,33333.333333333336,0.8571428571428572
5,resource_allocator,4925.0,8332.2,0.42376527275856135
6,veil_of_ignorance,1259.009044383941,10000.0,0.07445737557723686
6,individual_allocator,30000.0,50000.0,0.4285714285714286
6,social_allocator,30000.0,33333.333333333336,0.8571428571428572
6,resource_allocator,5808.0,9148.6,0.5270895725564932
7,veil_of_ignorance,2458.8145933104884,10000.0,0.129128119346685
7,individual_allocator,30000.0,50000.0,0.4285714285714286
7,social_allocator,30000.0,33333.333333333336,0.8571428571428572
8,veil_of_ignorance,719.2809326034902,10000.000000000002,0.040994714592265113
8,individual_allocator,30000.0,50000.0,0.4285714285714286
8,social_allocator,30000.0,33333.333333333336,0.8571428571428572
9,veil_of_ignorance,1131.2077409370531,10000.000000000002,0.04477073387241515
9,individual_allocator,30000.0,50000.0,0.4285714285714286
9,social_allocator,30000.0,33333.333333333336,0.8571428571428572
