episode,agent_name,minimum_welfare,average_welfare,equity_score
0,veil_of_ignorance,1315.149456585569,9999.999999999998,0.06709913817682567
0,individual_allocator,35000.0,50000.0,0.5384615384615384
0,social_allocator,30000.0,33333.333333333336,0.75
0,resource_allocator,4796.0,7907.4,0.46499903044405666
1,veil_of_ignorance,644.7961889728927,10000.000000000002,0.0281062608486079
1,individual_allocator,30000.0,50000.0,0.4285714285714286
1,social_allocator,30000.0,33333.333333333336,0.75
1,resource_allocator,4562.0,7316.4,0.43447619047619046
2,veil_of_ignorance,1860.9523225617174,10000.0,0.09916903646866926
2,individual_allocator,30000.0,50000.0,0.4285714285714286
2,social_allocator,30000.0,33333.333333333336,0.75
2,resource_allocator,7207.0,8912.4,0.6373363990095507
3,veil_of_ignorance,1262.9035460760622,10000.000000000004,0.03938459871198852
3,individual_allocator,30000.0,50000.0,0.4285714285714286
3,social_allocator,30000.0,33333.333333333336,0.75
3,resource_allocator,5661.0,8508.2,0.5039166815025815
4,veil_of_ignorance,564.4678946341195,10000.0,0.027135114752745437
4,individual_allocator,30000.0,50000.0,0.4285714285714286
4,social_allocator,30000.0,33333.333333333336,0.75
4,resource_allocator,5589.0,7093.2,0.5721744471744472
5,veil_of_ignorance,2031.7073460948375,10000.000000000002,0.09536836768199386
5,individual_allocator,30000.0,50000.0,0.4285714285714286
5,social_allocator,30000.0,33333.333333333336,0.75
5,resource_allocator,4925.0,8330.2,0.42376527275856135
6,veil_of_ignorance,1259.009044383941,10000.0,0.07445737557723686
6,individual_allocator,30000.0,50000.0,0.4285714285714286
6,social_allocator,30000.0,33333.333333333336,0.75
6,resource_allocator,5808.0,9148.6,0.5270895725564932
7,veil_of_ignorance,2458.8145933104884,10000.0,0.129128119346685
7,individual_allocator,30000.0,50000.0,0.4285714285714286
7,social_allocator,30000.0,33333.333333333336,0.75
8,veil_of_ignorance,5481.64352966271,10000.000000000002,0.33978156621281164
8,individual_allocator,30000.0,50000.0,0.4285714285714286
8,social_allocator,30000.0,33333.333333333336,0.75
9,veil_of_ignorance,2185.6891643439726,10000.000000000002,0.09752283502839743
